source,target,weight
47,63,1.00040016
48,61,1.014404545
48,62,0.995231184
48,63,1.020408163
49,57,1.208244492
49,61,1.02406554
49,62,0.994243851
49,63,1.020408163
50,57,1.199360341
50,61,1.017665131
50,62,0.961538462
50,63,1.020408163
51,59,1.182237601
51,61,1.01201771
51,62,1.012712777
51,63,1.020408163
52,61,1.0567297
52,62,1.023114816
52,63,1.020408163
53,57,1.218905473
53,61,0.967741935
53,62,0.989010989
53,63,1.020408163
54,59,1.176470588
54,61,0.977517107
54,62,1.018981019
54,63,1.020408163
55,61,0.979262673
55,62,1.059654631
55,63,1.020408163
56,59,1.339285714
56,60,1.057330827
56,61,1.036866359
56,62,0.981161695
56,63,1.002186589
57,61,1.027122452
57,62,0.984090536
57,63,1.020408163
58,60,1.110197368
58,61,1.008064516
58,62,0.995879121
58,63,1.004464286
59,61,1.027830487
59,62,1.018099548
59,63,1.005402161
60,61,1.004527448
60,62,1.012145749
60,63,1.00698174
61,62,1.016188113
62,61,1.016188113
61,63,1.009436032
63,61,1.009436032
62,63,1.009194887
63,62,1.009194887
64,63,1.020408163
65,61,1.075268817
66,62,1.063452676
67,40,2.059025395
66,63,1.020408163
68,40,2.061170213
67,63,1.020408163
68,62,1.06456044
69,63,1.020408163
70,62,1.06456044
71,63,1.020408163
72,61,1.01010101
73,63,1.020408163
72,62,0.999000999
74,63,1.020408163
75,62,1.098901099
76,61,1.075268817
77,8,1.913875598
76,63,1.020408163
78,8,1.913875598
79,61,1.075268817
79,63,1.020408163
80,61,1.075268817
77,49,1.336675021
80,63,1.020408163
78,49,1.336675021
81,61,1.075268817
81,63,1.020408163
82,61,1.075268817
77,57,1.335428123
82,63,1.020408163
78,57,1.335428123
77,62,0.954308849
83,61,1.075268817
77,63,1.020408163
78,61,1.075268817
83,63,1.020408163
78,62,0.954308849
84,63,1.020408163
85,61,1.075268817
85,63,1.020408163
86,57,1.407249467
87,49,1.30952381
86,61,1.044546851
86,62,0.941915228
86,63,1.020408163
88,57,1.444390948
88,61,1.075268817
88,63,1.020408163
89,57,1.402080507
89,61,1.042684914
89,63,1.020408163
90,57,1.32196162
87,61,1.048387097
91,57,1.353696633
87,62,0.934065934
92,57,1.335428123
87,63,1.020408163
93,57,1.356852103
90,61,1.044546851
90,62,0.941915228
90,63,1.020408163
91,62,0.945566062
92,61,1.046972269
91,63,1.020408163
93,61,1.05083089
92,63,1.020408163
93,62,0.949050949
94,62,1.03021978
95,61,1.075268817
94,63,1.020408163
96,61,1.075268817
95,63,1.020408163
96,62,1.03021978
97,63,1.020408163
98,61,1.041666667
99,63,1.020408163
98,62,1.03021978
100,63,1.020408163
101,61,1.008064516
102,63,1.020408163
101,62,1.06456044
103,62,1.063452676
104,61,1.008064516
103,63,1.020408163
105,61,1.01010101
104,63,1.020408163
105,62,1.065601066
106,63,1.020408163
107,61,1.01010101
108,63,1.020408163
107,62,0.999000999
109,63,1.020408163
110,63,1.020408163
111,62,0.969618617
112,61,0.977517107
111,63,1.020408163
113,61,0.962082626
112,63,1.020408163
113,62,0.954308849
114,63,0.989486704
115,62,1.065601066
116,63,1.020408163
117,62,1.066580478
118,62,1.098901099
119,61,0.977517107
118,63,1.020408163
120,61,0.948766603
119,63,1.020408163
120,62,1.066580478
121,63,1.020408163
122,61,1.01010101
123,63,1.020408163
122,62,1.032301032
124,63,1.020408163
125,59,1.232114467
126,63,1.020408163
125,60,1.06685633
127,62,1.001939237
128,61,0.980392157
127,63,1.020408163
125,61,0.988084859
128,63,1.020408163
125,62,1.00980101
129,63,1.020408163
130,61,0.980392157
131,63,1.020408163
130,62,1.001939237
132,62,1.098901099
133,61,1.01010101
132,63,1.020408163
134,61,0.980392157
133,63,1.020408163
134,62,1.066580478
135,63,0.987491771
136,62,1.063452676
137,63,1.020408163
138,61,0.977517107
139,63,1.020408163
138,62,0.999000999
140,61,1.008064516
140,62,1.03021978
140,63,1.020408163
141,57,1.316944688
142,53,1.388888889
141,61,0.948766603
141,62,1.034259858
143,53,1.367521368
141,63,1.020408163
144,53,1.349206349
142,60,1.096491228
145,57,1.316944688
142,61,0.985663082
146,57,1.296150825
142,62,1.037851038
143,57,1.301186376
142,63,1.020408163
144,57,1.279317697
145,61,0.980392157
146,60,1.073407202
145,62,1.034259858
143,60,1.079622132
145,63,1.020408163
144,60,1.065162907
146,62,1.041064199
143,61,0.992555831
146,63,1.020408163
144,61,0.972862263
143,63,1.020408163
144,62,1.020408163
147,63,1.020408163
148,58,1.274671053
149,63,1.020408163
150,63,1.020408163
151,62,0.973312402
152,61,1.01010101
151,63,1.020408163
148,61,0.990379174
152,63,1.020408163
148,62,0.954308849
153,62,0.999000999
154,61,0.977517107
153,63,1.020408163
155,61,0.95902354
154,63,1.020408163
155,62,0.98010098
156,63,1.020408163
157,63,1.020408163
158,59,1.238390093
159,62,1.001939237
160,61,0.980392157
159,63,1.020408163
158,61,0.962082626
160,63,1.020408163
158,62,0.983227299
161,33,2
162,32,2.173913043
163,31,2.067183463
164,32,1.982097187
165,31,1.913580247
161,61,1.075268817
166,32,1.93236715
167,31,1.93236715
161,62,0.961538462
168,32,1.902173913
169,31,1.89701897
161,63,0.994897959
170,32,1.92687747
171,31,1.925925926
164,33,1.823529412
162,61,1.075268817
166,33,1.777777778
172,31,1.851851852
162,62,0.961538462
168,33,1.75
162,63,0.994897959
170,33,1.772727273
173,61,1.075268817
173,63,1.020408163
174,61,1.075268817
174,63,1.020408163
175,61,1.075268817
175,63,0.987491771
176,61,1.075268817
176,63,0.989486704
164,61,1.075268817
164,62,0.969618617
164,63,0.990396158
166,62,0.976800977
168,61,1.075268817
166,63,0.997732426
170,61,1.075268817
168,63,0.994897959
170,62,0.974025974
177,61,1.041666667
178,60,1.102418208
177,62,1.06456044
179,60,1.133040936
177,63,1.020408163
180,60,1.079622132
178,62,1.03950104
179,61,1.045400239
178,63,1.020408163
180,61,1.020126827
179,63,1.020408163
180,62,1.014370245
181,33,1.935483871
182,32,1.976284585
183,33,1.882352941
184,32,1.93236715
165,33,1.888888889
185,32,1.895206243
163,61,1.075268817
167,33,1.869565217
172,32,1.947463768
163,62,0.971121901
169,33,1.853658537
186,32,1.877470356
163,63,0.996677741
171,33,1.866666667
187,32,1.863354037
181,61,1.075268817
181,63,1.020408163
188,61,1.075268817
188,63,1.020408163
189,61,1.075268817
190,61,1.075268817
190,63,0.987491771
183,61,1.075268817
183,62,0.969618617
183,63,0.990396158
165,61,1.075268817
165,62,0.976800977
165,63,0.992063492
167,62,0.979455327
169,61,1.075268817
167,63,0.998225377
171,61,1.075268817
169,63,0.995520159
171,62,0.976800977
191,61,1.040582726
192,59,1.192368839
191,62,1.063452676
193,59,1.225490196
191,63,0.987491771
194,59,1.192368839
195,61,1.040582726
192,60,1.06685633
195,63,0.987491771
194,60,1.06685633
192,62,1.03950104
193,61,1.045400239
192,63,0.992829564
194,61,1.046207498
193,63,0.992063492
194,62,1.03950104
196,63,1.020408163
197,62,1.069201069
198,61,1.046207498
197,63,1.020408163
199,61,1.020126827
198,63,1.020408163
199,62,1.042547196
200,62,1.098901099
201,61,0.992555831
200,63,1.020408163
202,61,0.967741935
201,63,1.020408163
202,62,1.071428571
203,63,1.020408163
204,62,1.063452676
204,63,1.020408163
205,62,1.098901099
205,63,1.020408163
206,62,1.068376068
207,61,0.964984836
206,63,1.020408163
208,61,0.944138474
207,63,1.020408163
208,62,1.045296167
209,63,1.020408163
210,52,1.458885942
211,49,1.30952381
212,39,1.755319149
210,53,1.452991453
213,49,1.349206349
210,57,1.377726751
214,49,1.393728223
210,60,1.079622132
215,49,1.336675021
210,61,1.047697822
216,49,1.340388007
210,62,0.958016343
217,49,1.284958428
210,63,1.020408163
218,49,1.317122594
219,57,1.399253731
219,61,1.008064516
219,63,1.020408163
211,53,1.416666667
213,52,1.465517241
220,39,1.854882706
211,57,1.305970149
214,52,1.471825063
211,60,1.052631579
215,52,1.451905626
211,61,1.048387097
216,52,1.494252874
211,62,0.989010989
217,52,1.477832512
211,63,1.020408163
218,52,1.467351431
213,57,1.305970149
214,53,1.422764228
213,60,1.118421053
215,53,1.49122807
213,61,1.021505376
216,53,1.407407407
213,62,0.989010989
217,53,1.428571429
213,63,1.020408163
218,53,1.418439716
221,57,1.316944688
214,60,1.09114249
215,57,1.335428123
214,61,1.049042748
216,57,1.326699834
214,62,0.96488877
217,57,1.279317697
214,63,1.020408163
218,57,1.302000635
222,61,1.040582726
222,63,1.020408163
221,61,1.043643264
221,62,1.001939237
221,63,1.020408163
215,61,1.018675722
216,60,1.052631579
215,62,0.954308849
215,63,1.020408163
218,60,1.063829787
216,62,0.976800977
217,61,1.02406554
216,63,1.020408163
218,61,1.029512697
217,63,1.020408163
218,62,0.981996727
223,61,1.01201771
223,62,1.034259858
223,63,1.020408163
224,62,1.032301032
224,63,1.020408163
225,57,1.32196162
226,61,1.020126827
227,57,1.284276293
226,62,1.042547196
228,57,1.255088195
226,63,1.020408163
229,57,1.238488409
230,62,1.063452676
230,63,1.020408163
225,61,0.983102919
225,62,1.03610675
225,63,1.020408163
227,62,1.04778942
228,61,1.001955034
227,63,1.020408163
229,61,0.983756577
228,63,1.020408163
229,62,1.028758476
231,61,0.983102919
231,62,1.004709576
232,48,1.548137397
231,63,1.020408163
233,61,1.041666667
233,63,1.020408163
234,63,1.020408163
235,63,1.020408163
236,61,1.01201771
236,63,1.020408163
237,63,1.020408163
238,61,0.977517107
238,63,1.020408163
239,62,0.96488877
232,61,0.992555831
239,63,1.020408163
240,61,0.979689367
232,63,1.020408163
240,62,0.952380952
241,57,1.32196162
242,49,1.294903926
241,61,1.044546851
241,62,0.973312402
241,63,1.020408163
243,57,1.279317697
243,61,0.983102919
243,62,0.973312402
243,63,1.020408163
244,57,1.399253731
244,61,1.041666667
244,63,1.020408163
245,63,1.020408163
246,63,1.020408163
242,60,1.108033241
247,57,1.326699834
242,61,1.018675722
248,57,1.249566123
242,62,0.983227299
249,57,1.208244492
242,63,1.020408163
250,57,1.206732296
247,61,0.985663082
247,62,0.976800977
247,63,1.020408163
248,62,0.996677741
249,61,0.998463902
248,63,1.020408163
250,61,0.983756577
249,63,1.020408163
250,62,0.981996727
182,61,1.042684914
182,63,1.020408163
251,61,1.008064516
251,63,1.020408163
252,61,1.040582726
252,63,0.987491771
253,61,1.041666667
253,63,0.988520408
184,60,1.096491228
184,61,1.045400239
184,62,0.976800977
184,63,0.992063492
185,61,1.047697822
185,62,0.986193294
185,63,0.994243851
172,62,0.984432234
186,61,1.05083089
172,63,0.99914966
187,61,1.031380294
186,63,0.997217069
187,62,0.964341781
254,62,1.098901099
254,63,1.020408163
255,63,1.020408163
256,62,1.063452676
256,63,1.020408163
257,61,0.977517107
257,62,1.032301032
257,63,1.020408163
258,63,1.020408163
259,61,0.977517107
259,62,1.032301032
259,63,1.020408163
260,63,1.020408163
261,62,1.042547196
262,61,0.947260625
261,63,1.020408163
263,61,0.931899642
262,63,1.020408163
263,62,1.025641026
264,62,1.063452676
264,63,1.020408163
265,62,1.063452676
265,63,1.020408163
266,61,1.008064516
266,62,1.06456044
266,63,1.020408163
267,61,0.948766603
267,62,1.066580478
267,63,1.020408163
268,61,1.01201771
268,62,1.066580478
268,63,1.020408163
269,63,1.020408163
270,61,0.983102919
270,62,1.067503925
270,63,1.020408163
271,61,0.95902354
271,62,1.069201069
271,63,1.020408163
272,62,1.073345259
273,61,0.981767181
272,63,1.020408163
274,61,0.983756577
273,63,1.020408163
274,62,1.075520224
275,59,1.424632353
276,56,1.456766917
275,61,1.008064516
275,62,1.06456044
275,63,1.020408163
277,63,1.020408163
278,63,1.020408163
279,59,1.260504202
276,61,0.990379174
280,59,1.225490196
276,62,1.069982649
281,59,1.236631016
276,63,1.020408163
282,59,1.241830065
279,61,0.983102919
279,62,1.067503925
279,63,1.020408163
280,62,1.072736787
281,61,1.001955034
280,63,1.020408163
282,61,1.003584229
281,63,1.020408163
282,62,1.074481074
283,62,1.06456044
283,63,1.020408163
284,63,1.020408163
285,62,1.065601066
286,55,1.465201465
285,63,1.020408163
287,55,1.43728223
288,59,1.381461676
289,56,1.496138996
288,61,1.01010101
290,56,1.496138996
288,62,1.065601066
286,56,1.465201465
288,63,1.020408163
287,56,1.43728223
291,59,1.378676471
289,58,1.266891892
291,62,1.03021978
291,63,1.020408163
289,60,1.06685633
292,59,1.423149905
289,61,0.988084859
290,59,1.351351351
289,62,1.069201069
286,59,1.357466063
289,63,1.020408163
287,59,1.327116212
292,62,1.063452676
292,63,1.020408163
290,62,1.069201069
286,61,0.992555831
290,63,1.020408163
287,61,0.970364542
286,63,1.020408163
287,62,1.045296167
293,61,1.075268817
293,63,1.020408163
294,58,1.428571429
294,59,1.386554622
294,60,1.127819549
294,61,1.075268817
294,62,1.03610675
294,63,1.020408163
295,63,1.020408163
296,59,1.381461676
296,61,1.01010101
296,62,1.032301032
296,63,1.020408163
297,58,1.345486111
297,59,1.429738562
297,60,1.169590643
297,61,1.045400239
297,62,0.946275946
297,63,0.992063492
298,59,1.302521008
298,61,1.013824885
298,62,0.941915228
298,63,1.020408163
299,59,1.265389877
300,58,1.284722222
299,60,1.223990208
301,58,1.420454545
299,61,1.025256314
302,58,1.334635417
299,62,0.996677741
303,58,1.324728261
299,63,0.996677741
304,58,1.3125
300,60,1.111111111
301,59,1.270053476
300,61,1.027479092
302,59,1.317401961
300,62,0.976800977
303,59,1.278772379
300,63,0.997732426
304,59,1.294117647
301,61,1.001955034
302,60,1.123903509
301,62,0.999000999
303,60,1.14416476
301,63,0.997217069
304,60,1.131578947
302,62,0.984432234
303,61,1.00514259
302,63,0.99914966
304,61,1.010752688
303,63,0.998225377
304,62,0.989010989
305,61,1.043643264
305,62,1.001939237
305,63,1.020408163
306,61,1.01201771
306,63,1.020408163
307,63,1.020408163
308,61,0.977517107
308,62,0.999000999
308,63,1.020408163
309,63,1.020408163
310,63,1.020408163
311,60,1.113360324
312,57,1.201310521
311,61,1.020126827
311,62,0.986193294
311,63,1.020408163
313,58,1.309121622
314,60,1.052631579
314,61,0.994623656
314,62,0.989010989
314,63,1.020408163
313,60,1.06685633
313,61,1.017146178
313,62,0.98010098
313,63,1.020408163
312,61,1.02281668
312,62,1.018493701
312,63,1.020408163
315,62,1.010989011
316,61,1.03046595
315,63,1.020408163
317,61,1.014404545
316,63,1.020408163
317,62,0.995231184
318,49,1.322751323
319,57,1.380597015
320,49,1.305114638
319,61,1.048387097
319,62,0.961538462
319,63,1.020408163
212,53,1.375
220,49,1.343101343
212,57,1.417910448
321,49,1.370851371
212,61,1.075268817
212,62,0.989010989
212,63,1.020408163
322,57,1.238488409
322,61,1.006634637
323,49,1.293356849
322,62,1.005377601
322,63,1.020408163
324,61,1.01010101
324,62,0.999000999
324,63,1.020408163
325,61,1.008064516
325,62,1.06456044
325,63,1.020408163
326,59,1.260504202
326,61,1.013824885
326,62,0.941915228
326,63,1.020408163
327,57,1.296150825
328,57,1.231343284
329,57,1.212686567
330,61,1.033101413
331,57,1.218905473
330,62,0.969618617
330,63,1.020408163
332,57,1.208244492
327,60,1.14265928
327,61,1.018675722
327,62,0.954308849
327,63,1.020408163
328,61,1.021505376
328,62,0.989010989
328,63,1.020408163
329,61,1.008064516
329,62,0.961538462
329,63,1.020408163
331,62,0.989010989
333,61,1.018675722
331,63,1.020408163
332,61,1.02406554
333,63,1.020408163
332,62,0.994243851
334,63,1.020408163
318,57,1.326699834
318,61,1.045400239
318,62,1.007326007
318,63,1.020408163
335,57,1.331181928
335,61,0.988084859
335,62,0.95040095
335,63,1.020408163
336,61,0.983102919
336,62,0.973312402
336,63,1.020408163
337,62,1.03021978
337,63,1.020408163
338,57,1.32196162
339,50,1.456766917
338,59,1.344537815
338,61,1.044546851
338,63,1.020408163
340,57,1.250504236
320,59,1.176470588
341,57,1.279317697
342,57,1.23771387
320,61,1.051373955
343,57,1.239087581
320,62,0.952380952
320,63,1.020408163
344,57,1.199360341
340,59,1.192368839
340,60,1.102418208
340,61,1.017146178
340,62,0.920700921
340,63,1.020408163
342,59,1.183644189
341,61,1.049667179
341,62,0.96807954
341,63,1.020408163
342,61,1.02281668
342,62,0.96488877
342,63,1.020408163
343,62,0.974497201
345,61,1.031380294
343,63,1.020408163
344,61,1.017665131
345,63,1.020408163
344,62,0.961538462
346,61,1.075268817
346,63,1.020408163
347,62,1.06456044
347,63,1.020408163
348,59,1.266339869
348,61,0.985663082
348,62,1.037851038
348,63,1.020408163
349,59,1.42733564
350,56,1.43728223
349,61,1.043643264
349,62,1.034259858
349,63,1.020408163
351,61,1.008064516
351,63,1.020408163
352,62,1.03021978
352,63,1.020408163
350,60,1.059050064
353,59,1.213235294
350,61,1.02281668
354,59,1.194852941
350,62,1.045296167
355,59,1.220275344
350,63,1.020408163
356,59,1.182237601
353,61,1.021505376
353,62,1.043956044
355,60,1.063829787
353,63,1.020408163
354,62,1.03021978
355,61,1.029512697
354,63,1.020408163
356,61,1.01201771
355,63,1.020408163
356,62,1.012712777
220,57,1.339456563
220,61,1.047697822
220,62,0.986193294
220,63,1.020408163
357,59,1.225490196
357,60,1.096491228
357,61,1.045400239
357,62,1.007326007
357,63,1.020408163
358,58,1.274671053
358,59,1.315789474
359,56,1.445578231
358,60,1.073407202
358,61,1.075268817
358,62,1.012145749
358,63,1.020408163
321,61,1.075268817
321,62,0.999000999
321,63,1.020408163
360,59,1.225490196
359,58,1.302083333
360,60,1.127819549
360,61,1.075268817
360,62,1.020408163
360,63,1.020408163
359,60,1.065162907
359,61,1.075268817
359,62,1.046572475
359,63,1.020408163
361,61,1.051893408
361,62,1.003344482
361,63,1.020408163
362,62,1.021785232
363,61,1.055356432
